game_id,blue_kills,blue_deaths,blue_assists,blue_elite_monsters,blue_dragons,blue_heralds,blue_towers_destroyed,blue_total_gold,blue_avg_level,blue_total_experience,blue_total_minions_killed,blue_total_jungle_minions_killed,blue_gold_diff,blue_experience_diff,blue_cs_per_min,blue_gold_per_min,red_kills,red_deaths,red_assists,red_elite_monsters,red_dragons,red_heralds,red_towers_destroyed,red_total_gold,red_avg_level,red_total_experience,red_total_minions_killed,red_total_jungle_minions_killed,red_gold_diff,red_experience_diff,red_cs_per_min,red_gold_per_min,winner,blue_kda,red_kda,blue_vision_score,red_vision_score,first_blood
4466931235,9,4,10,1,1,0,0,18132,7,18076,228,40,2883,2111,22.8,1813.2,4,9,2,0,0,0,0,15249,6.2,15965,227,36,-2883,-2111,22.7,1524.9,blue,4.75,0.67,29,25,blue
4524189570,5,2,6,2,1,1,0,16053,6.8,17406,218,51,1703,1696,21.8,1605.3,2,5,2,0,0,0,0,14350,6.4,15710,206,48,-1703,-1696,20.6,1435,blue,5.5,0.8,21,17,blue
4503380070,6,4,7,0,0,0,0,16438,6.8,16989,203,32,608,-85,20.3,1643.8,4,6,4,1,1,0,0,15830,6.8,17074,206,44,-608,85,20.6,1583,red,3.25,1.33,15,21,red
4497858921,5,4,4,0,0,0,0,15634,6.8,16355,201,45,71,-359,20.1,1563.4,4,5,4,1,1,0,0,15563,6.8,16714,222,38,-71,359,22.2,1556.3,red,2.25,1.6,17,15,blue
4509242024,6,4,4,0,0,0,0,16085,7.4,19076,204,56,275,872,20.4,1608.5,4,6,5,1,1,0,0,15810,7.2,18204,223,62,-275,-872,22.3,1581,blue,2.5,1.5,42,16,red
4524296550,3,4,6,0,0,0,0,14981,6.8,17082,235,52,-809,638,23.5,1498.1,4,3,7,2,1,1,0,15790,6.8,16444,218,50,809,-638,21.8,1579,red,2.25,3.67,27,19,red
4516034199,2,8,2,1,1,0,0,15421,7.2,19276,217,84,-2771,-1125,21.7,1542.1,8,2,5,0,0,0,0,18192,7.4,20401,234,64,2771,1125,23.4,1819.2,red,0.5,6.5,16,16,red
4504386463,5,6,4,1,0,1,0,15665,6.8,17716,203,48,-1730,-1236,20.3,1566.5,6,5,6,1,1,0,0,17395,7,18952,214,67,1730,1236,21.4,1739.5,red,1.5,2.4,22,44,blue
4523799496,7,9,5,1,0,1,0,17528,7.2,19609,234,68,-904,1377,23.4,1752.8,9,7,9,1,1,0,0,18432,7,18232,227,40,904,-1377,22.7,1843.2,red,1.33,2.57,14,19,red
4379931850,3,6,3,1,0,1,0,15032,6.6,16832,213,48,-1683,-1363,21.3,1503.2,6,3,6,1,1,0,0,16715,7,18195,236,44,1683,1363,23.6,1671.5,red,1,4,20,39,red
